line,ref_kind,direct_method,path_expression,tail
1361,db.ref,push,path,".push().key||('K'+Date.now()+Math.random().toString(36).slice(2,7))} function sjServerInc(n){return firebase.database.ServerValue.increment("
1369,db.ref,set,DB_PATH+'/global/auditLogs/'+id,".set(row).catch(e=>sjSaveError('AUDIT',e))} function sjHasWebCrypto(){return !!(window.crypto&&crypto.subtle&&typeof crypto.subtle.importKey"
1387,db.ref,update,DB_PATH+'/global/users/'+username,".update({pinHash:h,pinAlgo:'PBKDF2-SHA256',pinVersion:2,pass:null,updatedAt:sjNowIso()});if(cloudData.global.users&&cloudData.global.users[u"
1483,db.ref,update,DB_PATH+'/global/settings',".update({nama:nNama,logo:nLogo,qris:nQris}).then(function(){alert(""Pengaturan Toko disimpan!"");applyStoreSettings()}).catch(function(err){al"
1488,db.ref,once,DB_PATH+'/global/users',".once('value'),10000,'LOGIN_TIMEOUT');var users=snap.val()||{};         if(!Object.keys(users).length)throw Object.assign(new Error('Belum a"
1512,db.ref,on,DB_PATH+'/global',".on('value',function(snap){         var val=snap.val()||{settings:{},lockedMonths:[],users:{}};cloudData.global=val;         if(!cloudData.g"
1523,db.ref,,DB_PATH,.orderByKey().startAt(activeDateOnly).endAt(activeDateOnly+'\uf8ff');var cb=function(snap){var data=snap.val()||{};var agg=emptyDay();agg.is
1524,db.ref,,DB_PATH+'/'+activeDate,";var cb2=function(snap){var v=snap.val();if(!v){v=emptyDay();db.ref(DB_PATH+'/'+activeDate).set(v).catch(e=>sjSaveError('CREATE_SHIFT',e))}c"
1524,db.ref,set,DB_PATH+'/'+activeDate,".set(v).catch(e=>sjSaveError('CREATE_SHIFT',e))}cloudData[activeDate]=v;renderApp()};ref2.on('value',cb2);dailyListener={ref:ref2,cb:cb2}} }"
1571,db.ref,update,DB_PATH+'/'+activeDate,".update({kasAwal:getNum(document.getElementById('m-pagi').value),setoran:getNum(document.getElementById('m-setor').value),uangLaci:getNum(do"
1572,db.ref,set,DB_PATH+'/'+activeDate+'/absen',".set(v).then(()=>sjAudit('ABSEN','Ubah absen '+v)).catch(e=>{sjSaveError('ABSEN',e);showToast(sjFriendlyError(e),'error')})} function addOpe"
1575,db.ref,set,DB_PATH+'/'+activeDate+'/cpPlus/'+k,".set(getNum(v))} function upCupRusak(k,v){if(isDayLocked())return;db.ref(DB_PATH+'/'+activeDate+'/cpRusak/'+k).set(getNum(v))} function upBa"
1576,db.ref,set,DB_PATH+'/'+activeDate+'/cpRusak/'+k,".set(getNum(v))} function upBak(id,v){if(isDayLocked())return;db.ref(DB_PATH+'/'+activeDate+'/bk/'+id).set(getNum(v))} function renderHutang"
1577,db.ref,set,DB_PATH+'/'+activeDate+'/bk/'+id,.set(getNum(v))} function renderHutang(){     var hroot=document.getElementById('hut-list');var rows=sjArr(cloudData.global.hutang);if(hroot
1594,db.ref,,DB_PATH+'/global/inventory/'+p.id,";var tr=await sjTimeout(ref.transaction(cur=>{var n=cur==null?fallback:sjNum(cur);if(n<q)return;return n-q}),8000,'STOCK_TIMEOUT');if(!tr.co"
1602,db.ref,once,DB_PATH+'/'+base+'/tx/'+txId,".once('value'),4000,'TX_VERIFY_TIMEOUT').catch(()=>null);if(!(verify&&verify.exists()))throw e}         playCash();clsModal('modal-bayar');b"
1602,db.ref,update,DB_PATH,".update(upd),10000,'TX_WRITE_TIMEOUT')}catch(e){var verify=await sjTimeout(db.ref(DB_PATH+'/'+base+'/tx/'+txId).once('value'),4000,'TX_VERIF"
1604,db.ref,once,DB_PATH+'/'+activeDate+'/tx/'+txId,.once('value')}catch(_){}if(!(check&&check.exists())){for(const r of reserved){try{await db.ref(DB_PATH+'/global/inventory/'+r.id).transacti
1604,db.ref,transaction,DB_PATH+'/global/inventory/'+r.id,".transaction(cur=>sjNum(cur)+r.q)}catch(_){}}}alert('❌ '+sjFriendlyError(e))}finally{SJ_TX_BUSY=false;sjSetBusy(btn,false)} } function build"
